,id,title,release_date,overview,popularity,vote_average,vote_count,poster_path
0,939243,Sonic the Hedgehog 3,2024-12-19,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",4115.631,7.6,431,/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg
1,558449,Gladiator II,2024-11-05,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",3555.894,6.8,2181,/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg
2,762509,Mufasa: The Lion King,2024-12-18,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",2684.622,7.5,542,/iBqXjFkAozQ1z2sfAiWwBimbiJX.jpg
3,912649,Venom: The Last Dance,2024-10-22,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",2911.214,6.805,2249,/aosm8NMQ3UyoBVpSxyimorCQykC.jpg
4,1156593,Your Fault,2024-12-26,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,2310.635,7.134,776,/1sQA7lfcF9yUyoLYC0e6Zo3jmxE.jpg
5,402431,Wicked,2024-11-20,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",2260.092,7.3,1138,/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg
6,1241982,Moana 2,2024-11-21,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",2127.698,7.0,797,/m0SbwFNCa9epW1X60deLqTHiP7x.jpg
7,845781,Red One,2024-10-31,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",1892.703,7.058,1919,/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg
8,839033,The Lord of the Rings: The War of the Rohirrim,2024-12-05,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",1984.581,6.5,276,/cXzCOx1hUuU9CfmiEv6rXjb6EqU.jpg
9,970450,Werewolves,2024-12-04,"A year after a supermoon’s light activated a dormant gene, transforming humans into bloodthirsty werewolves and causing nearly a billion deaths, the nightmare resurfaces as the supermoon rises again. Two scientists attempt to stop the mutation but fail and must now struggle to reach one of their family homes.",1588.533,6.1,137,/cRTctVlwvMdXVsaYbX5qfkittDP.jpg
10,823219,Flow,2024-01-30,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",1520.499,8.4,629,/imKSymKBK7o73sajciEmndJoVkR.jpg
11,1035048,Elevation,2024-11-07,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,1408.767,6.2,297,/9knPvD6GLtl1w4pamRomyQKHXyj.jpg
12,1043905,Dirty Angels,2024-12-11,"During the United States' 2021 withdrawal from Afghanistan, a group of female soldiers posing as medical relief are sent back in to rescue a group of kidnapped teenagers caught between ISIS and the Taliban.",1266.854,6.4,106,/3O3qSGmjRGc10hMwFul8WDxKE5t.jpg
13,1214667,Making Squid Game: The Challenge,2023-12-06,"Go behind the scenes and witness how the ""Squid Game""-inspired reality show transformed from a scripted drama to a cutthroat, nail-biting competition.",1151.983,6.1,24,/lUb97EhBhNBfQ9wmy8YMbiNLtGh.jpg
14,1005331,Carry-On,2024-12-05,An airport security officer races to outsmart a mysterious traveler forcing him to let a dangerous item slip onto a Christmas Eve flight.,1130.954,7.0,1526,/sjMN7DRi4sGiledsmllEw5HJjPy.jpg
15,933260,The Substance,2024-09-07,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",890.175,7.1,3121,/lqoMzCcZYEFK729d6qzt349fB4o.jpg
16,1010581,My Fault,2023-06-08,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",904.418,7.887,3354,/w46Vw536HwNnEzOa7J24YH9DPRS.jpg
17,426063,Nosferatu,2024-12-25,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",923.788,6.9,739,/5qGIxdEO841C0tdY8vOdLoRVrr0.jpg
18,1276945,Ferry 2,2024-12-19,"After losing his drug empire, Ferry Bouman has found a measure of peace away from Brabant's criminal underworld — until his past catches up to him.",831.428,5.675,80,/8pwdnL3pEISIN1EGmwZzU6hpNVk.jpg
19,533535,Deadpool & Wolverine,2024-07-24,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",833.397,7.651,6309,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg
