Company name,Rating,Reviews,Company type,Office,Highly Rated For,Critically Rated For
TCS,3.7,85.2k,IT Services & Consulting,Bangalore / Bengaluru +375 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Accenture,3.9,53.3k,IT Services & Consulting,Bangalore / Bengaluru +193 other locations,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal
Wipro,3.7,50.6k,IT Services & Consulting,Bangalore / Bengaluru +338 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Cognizant,3.8,47.7k,IT Services & Consulting,Chennai +191 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Capgemini,3.8,39.4k,IT Services & Consulting,Bangalore / Bengaluru +155 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
HDFC Bank,3.9,37.9k,Banking,Mumbai +1622 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Infosys,3.7,36.9k,IT Services & Consulting,Bangalore / Bengaluru +196 other locations,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
ICICI Bank,4.0,36.9k,Banking,Mumbai +1329 other locations,"Job Security, Skill Development / Learning, Company Culture",None
HCLTech,3.5,34.2k,IT Services & Consulting,Chennai +199 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tech Mahindra,3.6,33.4k,IT Services & Consulting,Hyderabad / Secunderabad +285 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Genpact,3.9,30.1k,IT Services & Consulting,Hyderabad / Secunderabad +133 other locations,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Teleperformance,3.9,27.8k,BPO,Mumbai +205 other locations,"Skill Development / Learning, Job Security, Company Culture",None
Concentrix Corporation,3.8,25.3k,BPO,Bangalore / Bengaluru +138 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Axis Bank,3.8,24.4k,Banking,Mumbai +1355 other locations,None,Promotions / Appraisal
Amazon,4.1,24.1k,Internet,Bangalore / Bengaluru +458 other locations,"Company Culture, Salary & Benefits, Work Life Balance",None
