"Month","Water level","Discharge"
"june","2","3"
"june","0.00","0.00"
"june","0.00","0.00"
"june","0.00","0.00"
"june","0.00","0.00"
"june","0.00","0.00"
"june","0.00","0.00"
"june","0.00","0.00"
"june","0.00","0.00"
"june","0.00","0.00"
"june","0.00","0.00"
"june","0.00","0.00"
"june","0.00","0.00"
"june","0.00","0.00"
"june","0.00","0.00"
"june","0.00","0.00"
"june","0.00","0.00"
"june","0.00","0.00"
"june","0.00","0.00"
"june","191.12","5.40"
"june","191.27","9.30"
"june","191.32","10.50"
"june","191.27","9.30"
"june","191.17","7.13"
"june","191.07","4.16"
"june","191.02","3.38"
"june","191.10","5.13"
"june","191.12","5.40"
"june","191.22","7.83"
"june","191.27","9.30"
"june","191.22","7.83"
"june","-","-"
"july","4","5"
"july","191.27","9.30"
"july","191.32","10.50"
"july","191.37","12.40"
"july","191.42","14.40"
"july","191.52","19.38"
"july","191.57","22.68"
"july","191.62","25.20"
"july","191.67","27.00"
"july","191.72","30.71"
"july","191.77","34.20"
"july","191.90","44.10"
"july","191.92","48.40"
"july","191.92","48.40"
"july","191.82","37.83"
"july","191.72","30.71"
"july","191.67","27.00"
"july","191.62","25.20"
"july","191.57","22.68"
"july","191.52","19.38"
"july","191.57","22.68"
"july","191.62","25.20"
"july","191.67","27.00"
"july","191.72","30.71"
"july","191.77","34.20"
"july","191.82","37.83"
"july","191.87","42.84"
"july","191.97","54.52"
"july","192.02","58.28"
"july","192.07","66.81"
"july","192.12","86.18"
"july","192.22","103.18"
"august","6","7"
"august","192.32","113.23"
"august","192.32","113.23"
"august","192.42","142.45"
"august","192.52","160.80"
"august","192.47","154.40"
"august","192.40","132.97"
"august","192.32","113.23"
"august","192.24","105.20"
"august","192.22","103.18"
"august","192.26","109.71"
"august","192.30","110.55"
"august","192.32","113.23"
"august","192.39","131.40"
"august","192.47","148.61"
"august","192.52","164.82"
"august","192.57","190.19"
"august","192.62","212.67"
"august","192.72","258.63"
"august","192.77","268.62"
"august","192.92","339.09"
"august","193.07","393.96"
"august","192.92","339.09"
"august","192.77","295.24"
"august","192.62","212.68"
"august","192.50","148.50"
"august","192.42","135.05"
"august","192.32","113.26"
"august","192.25","105.86"
"august","192.17","90.54"
"august","192.07","66.81"
"august","192.00","57.34"
"september","8","9"
"september","191.96","53.58"
"september","192.07","66.81"
"september","192.17","90.54"
"september","192.27","111.09"
"september","192.47","154.40"
"september","192.62","212.67"
"september","192.77","268.62"
"september","192.92","306.36"
"september","192.97","339.09"
"september","192.77","268.62"
"september","192.57","183.92"
"september","192.47","148.61"
"september","192.41","133.59"
"september","192.36","113.75"
"september","192.27","111.09"
"september","192.17","90.54"
"september","192.07","66.81"
"september","191.97","54.50"
"september","191.97","54.50"
"september","192.07","66.82"
"september","192.17","90.54"
"september","192.32","113.26"
"september","192.48","145.58"
"september","192.62","212.66"
"september","192.77","268.62"
"september","192.92","339.09"
"september","193.07","393.96"
"september","193.07","393.96"
"september","192.87","300.44"
"september","192.67","218.50"
"september","-","-"
"october","10","11"
"october","192.57","183.92"
"october","192.42","135.05"
"october","192.27","111.09"
"october","192.12","86.81"
"october","191.97","54.58"
"october","191.97","54.58"
"october","192.12","86.81"
"october","192.17","90.54"
"october","191.92","50.60"
"october","191.90","48.15"
"october","191.72","34.86"
"october","191.62","28.00"
"october","191.52","21.66"
"october","191.42","18.45"
"october","191.35","13.68"
"october","191.32","11.55"
"october","191.27","9.92"
"october","191.22","8.10"
"october","191.17","7.13"
"october","191.15","5.94"
"october","191.10","4.94"
"october","191.07","4.16"
"october","191.02","3.38"
"october","191.02","3.38"
"october","191.07","4.16"
"october","191.27","9.92"
"october","191.29","11.55"
"october","191.35","13.68"
"october","191.47","23.00"
"october","191.47","23.00"
"october","191.57","23.90"
"november","12","13"
"november","191.62","25.90"
"november","191.68","30.71"
"november","191.77","37.63"
"november","191.87","43.86"
"november","191.94","54.28"
"november","191.97","53.36"
"november","191.87","43.86"
"november","191.70","28.80"
"november","191.67","27.75"
"november","191.62","25.90"
"november","191.58","22.40"
"november","191.54","21.00"
"november","191.50","19.44"
"november","191.47","16.00"
"november","191.41","14.08"
"november","191.37","12.40"
"november","191.33","11.16"
"november","191.29","9.60"
"november","191.24","8.41"
"november","191.20","7.25"
"november","191.17","7.13"
"november","191.15","5.94"
"november","191.13","5.40"
"november","191.10","4.94"
"november","191.09","4.68"
"november","191.07","4.16"
"november","191.05","3.64"
"november","191.02","3.38"
"november","191.02","3.38"
"november","190.99","3.12"
"november","-","-"
"","",""
